,Categories,Template type,Subject,Context
91,,,Opening Lines For Sales Emails,I noticed you ... (source)[Mutual connection] mentioned ... (source) I Saw that we both ... (source) I loved your post on ... (source) Congratulations on ... (source)
92,Opening Lines For Sales Emails,,Opening Lines For Sales Emails,"Hello  {name}, 
How would you like to cut your printing costs by more than 60 percent per month? Give us a few days of your time and will show you how.
Will review every facet of your current system and analyze its strengths and weaknesses. Well look at a comparison of costs for the other businesses of your size and provide a comprehensive report of short and long-term actions that will generate substantial savings for your company.
The enclosed proposal outlines are the details of what well we do and how successful we’ve been at doing this for other businesses. In fact, we guarantee you’ll save no less than 10 percent per year savings as a result of our efforts.
I’ll meet you after you’ve had a chance to review our proposal."
93,,,,"Hi {name},
My name is {name}, and I am a business development manager with {company}. My objective in sending this email proposal is to decrease the cost of {company} nightly cleaning service by 15% using only direct hire labor. We can do this within 60 days of proposal acceptance.
Here’s how the transition would be implemented:
First, we will hire the labor to work in all 36 Georgia stores within 30 days.
Within 60 days, we will deliver on nightly cleaning services, including scrubbing and buffing floors, high dusting, and polishing fixtures. We will do this overnight, seven days a week, and {company} will have access to a customer service line available for them to dial into at any time if there are issues. I will be your main point of contact throughout this process.
We believe this will solve the issues you discussed in our meeting. First, you said you were concerned with ensuring quality standards are met, but you also want to reduce costs. We are offering our services for $300 a day and will continue services on an ongoing basis.
Thank you for your time. I will follow up in one business day if I haven’t heard from you sooner."
94,,,,"Hi {name},
Thanks so much for being a loyal {company} for all these years! To show our appreciation, we are pleased to offer you a discount on any design work you need help with before the end of the year. To claim this offer, just hit “reply” to this email before Oct 31 with any work you need before year-end and we’ll take 30% off when we send the final invoice. It’s our way of saying: Happy Fourth Quarter!
Wishing you all the best.
PS: You know how busy it gets around Q4 which means, we can’t offer this discount after Oct 31 (even if we want to) so be sure to hit “reply” right away and we’ll get you on the calendar. Cheers!"
95,Sales Proposal Email Templates,,,"Hello {name},
We are happy to announce a 25% discount on our brand new unisex jewelry accessory range designed by the leading experts of {company}. This range is absolutely available at leading retail outlets, or you can also buy online at our site {website link}. On every online purchase, you can avail of free shipping to your address. For more information, find the attached brochures which will help you to understand the different plans available for this unique & interesting collection.
Furthermore, you can enjoy one on one offer on every purchase worth $200. Our exclusive range of accessories and jewelry is liked by the masses for its fashionable designs and durability. Do not miss the golden opportunity to make these trendy accessories yours!
Your queries and questions will be sorted out by our customer support team as on the given number:"
96,,,,"Hi {name},
For limited time, we’re offering 50% off all annual plans for one year so you can access advanced features that will help you grow your business.
Get the word out - advertise across major marketplaces including  {company}
Get sales - offer coupons and discounts
Get found - take advantage of enhanced SEO to target found on search engines
Get support - all paid plans offer live chat and email support
Be sure to click “apply” next to the coupon code when you place your order to confirm your discount. All plans include live chat support with our customer success team to maximize value, This special deal ends this week. Take advantage of these features right away to get the most from your online store!
This offer is for free users upgrading to any  {company} paid plan."
97,,,,"Hello {name},
I took a quick look at your website and I immediately thorough of a case study that we recently published. In the article below, you can learn how one of our customers, {company}, has begun using {company} to automate her lead generation.
Essentially, she’s now able to focus on her hot leads, while placing the “Zombie Leads” (those leads that fill out a form but are kind of just kicking the tires) into an automated lead nourishment campaign. She’s estimated it’s saved her 8 hours a week, so I’m sure it could save you some time as well!
Save time with automated lead generation
I’d be happy to help strategize how our lead scoring could work for you. Do you have 15 minutes tomorrow between 9 and 11 am CST? If that time doesn’t work, feel free to use my calendar here: {calendar link}
Either way, I look forward to hearing from you soon!"
98,Discount Offer Email Templates,,Opening Lines For Sales Emails,"Hello {name}, Thank you for your interest in replying. I’d be happy to jump in on a call to give you an in-depth review of our platform. Let me know how the time works, and I’ll send you a calendar invitation. Meanwhile, can you answer these questions to help me better understand your situation so that I can present the call accordingly: How are you currently promoting your email and what are the challenges you want to address? How are you currently receiving your potential emails? Are you looking for a single account or multiple users? How many contracts are you looking for each month?"
99,,,,"Hi  {name}, I read your fantastic blog post about product descriptions on {company}, and I wondered—do you have copywriting clients who own eCommerce stores? I’d love to introduce you to our new Awesome App. This App helps eCommerce owners [fill in a serious benefit]
Sounds interesting?
Please reply to this email and I’ll set up a quick demo at a time most convenient for you."
100,Persuasive Sales Email Templates,,,"Hi {name}, Your website’s design is absolutely brilliant. The visuals really enhance your message and the content compels action. I’ve forwarded it to a few of my contacts who think could benefit from your services. When I was looking at your site, though, I noticed a mistake that you’ve made re: search engine optimization. It’s a relatively simple fix.
Would you like me to write it up so that you can share it with your web team? If this is a priority, I can also get on a call."
101,,,,"Hello  {name}, In working with other {industry}, one of the key issues they’re struggling with is {key issue}. This past year we helped numerous companies to {business driver}, resulting in {money saved, revenue, added, productivity increase}. If this is something you’re challenged with too, let’s set up a quick call. I have some ideas that might help.
All the best."
102,Sales Introduction Email Templates,,,"Hi {name}, What would it mean to your top-line revenue if you saw a 70% increase in contract rates, 50% improvement in closes and a 40% increase in quota-hitting sales reps? Let’s find a few minutes to talk about how {company} is providing these results to our clients.
I’m available tomorrow {insert time you’re available}. Can we sync up?"
